job_family,experiment_id,seed,output_dir,scientific_question,contract_sha256,RL_ALGORITHM,POLICY_ENCODER,VINE_FEATURE_MODE,CVAR_OBSERVATION_MODE,CVAR_REWARD_MODE,PRETRAIN_DATA_MODE,RUN_FINETUNE,SYNTHETIC_RETURNS_FILE,CHECKPOINT_PREFIX,LR_ACTOR,LR_CRITIC,ENTROPY_COEF,PRETRAIN_BEHAVIOR_GATE_MODE
causal_ablation,full_vine_state_and_cvar_observation,20261001,data/publication_extension_runs_v4/full_vine_state_and_cvar_observation/seed_20261001,Reference TD3-LSTM policy under the complete information and reward design.,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,full_vine_state_and_cvar_observation,20261002,data/publication_extension_runs_v4/full_vine_state_and_cvar_observation/seed_20261002,Reference TD3-LSTM policy under the complete information and reward design.,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,full_vine_state_and_cvar_observation,20261003,data/publication_extension_runs_v4/full_vine_state_and_cvar_observation/seed_20261003,Reference TD3-LSTM policy under the complete information and reward design.,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,full_vine_state_and_cvar_observation,20261004,data/publication_extension_runs_v4/full_vine_state_and_cvar_observation/seed_20261004,Reference TD3-LSTM policy under the complete information and reward design.,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,full_vine_state_and_cvar_observation,20261005,data/publication_extension_runs_v4/full_vine_state_and_cvar_observation/seed_20261005,Reference TD3-LSTM policy under the complete information and reward design.,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,full_vine_state_and_cvar_observation,20261006,data/publication_extension_runs_v4/full_vine_state_and_cvar_observation/seed_20261006,Reference TD3-LSTM policy under the complete information and reward design.,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,full_vine_state_and_cvar_observation,20261007,data/publication_extension_runs_v4/full_vine_state_and_cvar_observation/seed_20261007,Reference TD3-LSTM policy under the complete information and reward design.,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,full_vine_state_and_cvar_observation,20261008,data/publication_extension_runs_v4/full_vine_state_and_cvar_observation/seed_20261008,Reference TD3-LSTM policy under the complete information and reward design.,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,full_vine_state_and_cvar_observation,20261009,data/publication_extension_runs_v4/full_vine_state_and_cvar_observation/seed_20261009,Reference TD3-LSTM policy under the complete information and reward design.,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,full_vine_state_and_cvar_observation,20261010,data/publication_extension_runs_v4/full_vine_state_and_cvar_observation/seed_20261010,Reference TD3-LSTM policy under the complete information and reward design.,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,zero_vine_features_keep_cvar_observation,20261001,data/publication_extension_runs_v4/zero_vine_features_keep_cvar_observation/seed_20261001,Does the direct dynamic-vine state add value conditional on policy-visible scenario CVaR?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,zero,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,zero_vine_features_keep_cvar_observation,20261002,data/publication_extension_runs_v4/zero_vine_features_keep_cvar_observation/seed_20261002,Does the direct dynamic-vine state add value conditional on policy-visible scenario CVaR?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,zero,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,zero_vine_features_keep_cvar_observation,20261003,data/publication_extension_runs_v4/zero_vine_features_keep_cvar_observation/seed_20261003,Does the direct dynamic-vine state add value conditional on policy-visible scenario CVaR?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,zero,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,zero_vine_features_keep_cvar_observation,20261004,data/publication_extension_runs_v4/zero_vine_features_keep_cvar_observation/seed_20261004,Does the direct dynamic-vine state add value conditional on policy-visible scenario CVaR?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,zero,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,zero_vine_features_keep_cvar_observation,20261005,data/publication_extension_runs_v4/zero_vine_features_keep_cvar_observation/seed_20261005,Does the direct dynamic-vine state add value conditional on policy-visible scenario CVaR?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,zero,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,zero_vine_features_keep_cvar_observation,20261006,data/publication_extension_runs_v4/zero_vine_features_keep_cvar_observation/seed_20261006,Does the direct dynamic-vine state add value conditional on policy-visible scenario CVaR?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,zero,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,zero_vine_features_keep_cvar_observation,20261007,data/publication_extension_runs_v4/zero_vine_features_keep_cvar_observation/seed_20261007,Does the direct dynamic-vine state add value conditional on policy-visible scenario CVaR?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,zero,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,zero_vine_features_keep_cvar_observation,20261008,data/publication_extension_runs_v4/zero_vine_features_keep_cvar_observation/seed_20261008,Does the direct dynamic-vine state add value conditional on policy-visible scenario CVaR?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,zero,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,zero_vine_features_keep_cvar_observation,20261009,data/publication_extension_runs_v4/zero_vine_features_keep_cvar_observation/seed_20261009,Does the direct dynamic-vine state add value conditional on policy-visible scenario CVaR?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,zero,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,zero_vine_features_keep_cvar_observation,20261010,data/publication_extension_runs_v4/zero_vine_features_keep_cvar_observation/seed_20261010,Does the direct dynamic-vine state add value conditional on policy-visible scenario CVaR?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,zero,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,keep_vine_features_zero_cvar_observation,20261001,data/publication_extension_runs_v4/keep_vine_features_zero_cvar_observation/seed_20261001,Does policy-visible scenario CVaR add value conditional on the direct dynamic-vine state?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,zero,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,keep_vine_features_zero_cvar_observation,20261002,data/publication_extension_runs_v4/keep_vine_features_zero_cvar_observation/seed_20261002,Does policy-visible scenario CVaR add value conditional on the direct dynamic-vine state?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,zero,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,keep_vine_features_zero_cvar_observation,20261003,data/publication_extension_runs_v4/keep_vine_features_zero_cvar_observation/seed_20261003,Does policy-visible scenario CVaR add value conditional on the direct dynamic-vine state?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,zero,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,keep_vine_features_zero_cvar_observation,20261004,data/publication_extension_runs_v4/keep_vine_features_zero_cvar_observation/seed_20261004,Does policy-visible scenario CVaR add value conditional on the direct dynamic-vine state?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,zero,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,keep_vine_features_zero_cvar_observation,20261005,data/publication_extension_runs_v4/keep_vine_features_zero_cvar_observation/seed_20261005,Does policy-visible scenario CVaR add value conditional on the direct dynamic-vine state?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,zero,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,keep_vine_features_zero_cvar_observation,20261006,data/publication_extension_runs_v4/keep_vine_features_zero_cvar_observation/seed_20261006,Does policy-visible scenario CVaR add value conditional on the direct dynamic-vine state?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,zero,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,keep_vine_features_zero_cvar_observation,20261007,data/publication_extension_runs_v4/keep_vine_features_zero_cvar_observation/seed_20261007,Does policy-visible scenario CVaR add value conditional on the direct dynamic-vine state?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,zero,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
causal_ablation,keep_vine_features_zero_cvar_observation,20261008,data/publication_extension_runs_v4/keep_vine_features_zero_cvar_observation/seed_20261008,Does policy-visible scenario CVaR add value conditional on the direct dynamic-vine state?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,lstm,full,zero,full,vine_synthetic,true,data/synthetic_returns.RData,td3_lstm_vine,0.00003,0.0001,0.005,report_only
