contrast_family,family_index,reference_experiment_id,alternative_experiment_id,label,alternative_hypothesis,primary_outcome,economic_effect,multiplicity_method,contract_sha256
primary_component,1,full_vine_state_and_cvar_observation,zero_vine_features_keep_cvar_observation,Direct NN-vine state contribution,reference_greater_than_ablation,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
primary_component,2,full_vine_state_and_cvar_observation,keep_vine_features_zero_cvar_observation,Scenario-CVaR observation contribution,reference_greater_than_ablation,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
primary_component,3,full_vine_state_and_cvar_observation,zero_vine_features_and_cvar_observation,Joint policy-visible dependence contribution,reference_greater_than_ablation,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
primary_component,4,full_vine_state_and_cvar_observation,zero_cvar_reward_keep_state,CVaR reward-shaping contribution,reference_greater_than_ablation,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
primary_component,5,full_vine_state_and_cvar_observation,historical_only_no_synthetic_pretraining,Synthetic NN-vine pretraining contribution,reference_greater_than_ablation,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
primary_component,6,full_vine_state_and_cvar_observation,moving_block_bootstrap_pretraining,NN-vine generator versus temporal bootstrap,reference_greater_than_ablation,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
primary_component,7,full_vine_state_and_cvar_observation,feedforward_capacity_matched,Recurrent encoder contribution,reference_greater_than_ablation,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
primary_component,8,full_vine_state_and_cvar_observation,pretrained_only_no_historical_finetuning,Historical fine-tuning contribution,reference_greater_than_ablation,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
algorithm_robustness,1,full_vine_state_and_cvar_observation,ddpg_lstm_full,TD3 versus DDPG,two_sided_exploratory,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
algorithm_robustness,2,full_vine_state_and_cvar_observation,sac_lstm_full,TD3 versus SAC,two_sided_exploratory,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
algorithm_robustness,3,full_vine_state_and_cvar_observation,ppo_lstm_full,TD3 versus PPO,two_sided_exploratory,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
algorithm_robustness,4,full_vine_state_and_cvar_observation,a2c_lstm_full,TD3 versus A2C,two_sided_exploratory,paired_monthly_crra_utility_difference,annualized_certainty_equivalent_return_difference,holm_within_family,bcf1b37cafd894241ca75b26f8a545029b28b14d834189b8db78b7d09557b25e
